PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE,OPP_VOTES_PTI,PTI_VOTES_PTI,TURNOUT_NA_PTI,ECP_PTI_DIFFERENCE_OPP_VOTES,
35,26,117,1132,,Page Missing 2/2,28,Page Missing 2/2,#VALUE!,422,37.27915194,#VALUE!,152,Page Missing 1/2,400,#VALUE!,
54,45,117,1383,,Page Missing 2/2,165,Page Missing 2/2,#VALUE!,292,21.11352133,#VALUE!,24,165,292,#VALUE!,
59,50,117,953,,Page Missing 2/2,128,Page Missing 2/2,#VALUE!,257,26.96747114,#VALUE!,23,128,249,#VALUE!,
87,78,117,1176,,Page Missing 2/2,95,Page Missing 2/2,#VALUE!,307,26.10544218,#VALUE!,96,95,307,#VALUE!,
126,34,116,1702,Dr Farooq Sattar (MQM),616,70,809,47.53231492,809,47.53231492,0,43,348,658,573,
79,70,117,1116,Dr Farooq Sattar (MQM),577,60,699,62.6344086,699,62.6344086,0,83,146,379,494,
73,64,117,1272,Dr Farooq Sattar (MQM),573,22,670,52.67295597,670,52.67295597,0,59,119,279,514,
41,32,117,1461,Dr Farooq Sattar (MQM),497,139,966,66.11909651,932,63.79192334,34,97,139,566,400,
98,6,116,1649,Dr Farooq Sattar (MQM),495,30,776,47.05882353,810,49.1206792,34,110,131,606,385,
47,38,117,1678,Dr Farooq Sattar (MQM),473,6,603,35.93563766,603,35.93563766,0,283,46,603,190,
82,73,117,1061,Dr Farooq Sattar (MQM),445,31,509,47.9736098,509,47.9736098,0,Page Missing 2/2,130,Page Missing 2/2,#VALUE!,
94,2,116,1692,Dr Farooq Sattar (MQM),421,85,838,49.52718676,838,49.52718676,0,121,91,557,300,
121,29,116,1475,Dr Farooq Sattar (MQM),390,100,837,56.74576271,811,54.98305085,26,59,432,811,331,
18,9,117,1702,Dr Farooq Sattar (MQM),388,38,620,36.42773208,621,36.48648649,1,88,338,620,300,
62,53,117,1248,Dr Farooq Sattar (MQM),381,186,800,64.1025641,789,63.22115385,11,Page Missing 2/2,186,Page Missing 2/2,#VALUE!,
127,35,116,1564,Dr Farooq Sattar (MQM),380,48,586,37.46803069,551,35.23017903,35,35,313,663,345,
38,29,117,1569,Dr Farooq Sattar (MQM),379,94,613,39.069471,313,19.94901211,300,79,94,313,300,
40,31,117,1445,Dr Farooq Sattar (MQM),327,44,575,39.79238754,575,39.79238754,0,,,,327,
13,4,117,1692,Dr Farooq Sattar (MQM),320,180,652,38.53427896,652,38.53427896,0,72,288,607,248,
27,18,117,828,Dr Farooq Sattar (MQM),319,103,477,57.60869565,177,21.37681159,300,19,103,177,300,
63,54,117,988,Dr Farooq Sattar (MQM),314,14,370,37.44939271,370,37.44939271,0,49,113,272,265,
17,8,117,1828,Dr Farooq Sattar (MQM),313,109,669,36.59737418,669,36.59737418,0,113,309,669,200,
69,60,117,876,Dr Farooq Sattar (MQM),302,23,384,43.83561644,384,43.83561644,0,59,147,397,243,
32,23,117,745,Dr Farooq Sattar (MQM),298,28,362,48.59060403,362,48.59060403,0,43,179,311,255,
118,26,116,1344,Dr Farooq Sattar (MQM),296,123,951,70.75892857,751,55.87797619,200,96,123,751,200,
57,48,117,1532,Dr Farooq Sattar (MQM),290,7,527,34.39947781,527,34.39947781,0,90,207,527,200,
31,22,117,857,Dr Farooq Sattar (MQM),289,45,389,45.39089848,389,45.39089848,0,23,116,215,266,
48,39,117,1705,Dr Farooq Sattar (MQM),283,21,569,33.37243402,569,33.37243402,0,283,21,569,0,
61,52,117,1285,Dr Farooq Sattar (MQM),277,156,552,42.95719844,302,23.50194553,250,27,156,302,250,
102,10,116,1312,Dr Farooq Sattar (MQM),271,109,635,48.39939024,635,48.39939024,0,95,109,635,176,
64,55,117,1432,Dr Farooq Sattar (MQM),265,51,486,33.93854749,486,33.93854749,0,65,251,486,200,
25,16,117,1024,Dr Farooq Sattar (MQM),260,36,445,43.45703125,450,43.9453125,5,60,236,450,200,
50,41,117,1294,Dr Farooq Sattar (MQM),247,7,452,34.93044822,452,34.93044822,0,47,107,452,200,
65,56,117,1118,Dr Farooq Sattar (MQM),247,62,437,39.08765653,439,39.26654741,2,47,262,437,200,
109,17,116,1523,Dr Farooq Sattar (MQM),247,52,595,39.06762968,595,39.06762968,0,47,252,595,200,
14,5,117,1237,Dr Farooq Sattar (MQM),246,30,493,39.85448666,494,39.93532741,1,46,230,494,200,
55,46,117,1080,Dr Farooq Sattar (MQM),242,60,376,34.81481481,378,35,2,42,160,376,200,
24,15,117,1122,Dr Farooq Sattar (MQM),230,66,442,39.39393939,442,39.39393939,0,0,266,442,230,
46,37,117,1644,Dr Farooq Sattar (MQM),220,164,679,41.30170316,679,41.30170316,0,220,164,679,0,
76,67,117,1498,Dr Farooq Sattar (MQM),219,55,480,32.04272363,480,32.04272363,0,119,155,480,100,
74,65,117,1364,Dr Farooq Sattar (MQM),213,116,505,37.02346041,505,37.02346041,0,113,216,504,100,
8,31,118,1880,Dr Farooq Sattar (MQM),203,97,839,44.62765957,651,34.62765957,188,Page Missing 2/2,97,Page Missing 2/2,#VALUE!,
37,28,117,1457,Dr Farooq Sattar (MQM),177,122,498,34.17982155,498,34.17982155,0,Page Missing 2/2,122,Page Missing 2/2,#VALUE!,
34,25,117,992,Dr Farooq Sattar (MQM),174,40,279,28.125,279,28.125,0,24,140,279,150,
12,3,117,884,Dr Farooq Sattar (MQM),171,152,489,55.31674208,327,36.99095023,162,11,152,329,160,
15,6,117,1008,Dr Farooq Sattar (MQM),171,61,285,28.27380952,285,28.27380952,0,17,161,285,154,
108,16,116,1403,Dr Farooq Sattar (MQM),169,57,573,40.84105488,573,40.84105488,0,69,157,573,100,
53,44,117,1740,Aftab Jehangir (PTI),168,173,524,30.11494253,524,30.11494253,0,68,273,519,100,
91,82,117,923,Dr Farooq Sattar (MQM),162,73,306,33.15276273,316,34.23618635,10,92,113,306,70,
58,49,117,1334,Aftab Jehangir (PTI),152,228,553,41.45427286,553,41.45427286,0,52,228,553,100,
33,24,117,1212,Dr Farooq Sattar (MQM),151,56,489,40.34653465,489,40.34653465,0,51,256,481,100,
77,68,117,983,Dr Farooq Sattar (MQM),150,39,322,32.75686673,322,32.75686673,0,Page Missing 2/2,139,Page Missing 2/2,#VALUE!,
43,34,117,1052,Dr Farooq Sattar (MQM),147,109,367,34.88593156,367,34.88593156,0,147,109,367,0,
36,27,117,1688,Aftab Jehangir (PTI),142,146,520,30.8056872,505,29.91706161,15,Page Missing 2/2,146,Page Missing 2/2,#VALUE!,
11,2,117,1245,Dr Farooq Sattar (MQM),140,122,413,33.17269076,282,22.65060241,131,16,122,169,124,
28,19,117,925,Dr Farooq Sattar (MQM),140,108,376,40.64864865,375,40.54054054,1,40,208,376,100,
99,7,116,1576,Dr Farooq Sattar (MQM),137,103,594,37.69035533,593,37.62690355,1,137,103,594,0,
115,23,116,1365,Aftab Jehangir (PTI),135,153,672,49.23076923,672,49.23076923,0,135,153,672,0,
72,63,117,1578,Aftab Jehangir (PTI),129,186,493,31.24207858,493,31.24207858,0,129,186,493,0,
67,58,117,859,Dr Farooq Sattar (MQM),126,22,255,29.68568102,255,29.68568102,0,26,122,255,100,
49,40,117,1093,Dr Farooq Sattar (MQM),120,61,365,33.39432754,365,33.39432754,0,120,61,365,0,
92,83,117,1293,Dr Farooq Sattar (MQM),120,101,386,29.85305491,386,29.85305491,0,120,101,386,0,
95,3,116,1643,Dr Farooq Sattar (MQM),114,84,424,25.80645161,424,25.80645161,0,Page Missing 2/2,84,Page Missing 2/2,#VALUE!,
129,37,116,805,Aftab Jehangir (PTI),114,218,454,56.39751553,358,44.47204969,96,14,218,357,100,
71,62,117,818,Dr Farooq Sattar (MQM),113,96,343,41.93154034,343,41.93154034,0,113,96,343,0,
45,36,117,1918,Aftab Jehangir (PTI),111,184,583,30.39624609,583,30.39624609,0,111,184,583,0,
70,61,117,887,Dr Farooq Sattar (MQM),109,103,362,40.81172492,362,40.81172492,0,109,103,362,0,
110,18,116,958,Dr Farooq Sattar (MQM),108,28,433,45.19832985,433,45.19832985,0,108,28,433,0,
85,76,117,1256,Aftab Jehangir (PTI),107,195,442,35.1910828,442,35.1910828,0,107,195,442,0,
106,14,116,1410,Aftab Jehangir (PTI),103,160,594,42.12765957,605,42.90780142,11,Page Missing 2/2,Page Missing 1/2,Page Missing 2/2,#VALUE!,
22,13,117,1570,Aftab Jehangir (PTI),102,285,564,35.92356688,564,35.92356688,0,72,288,562,30,
39,30,117,1844,Aftab Jehangir (PTI),102,187,526,28.52494577,519,28.14533623,7,102,187,526,0,
100,8,116,1515,Aftab Jehangir (PTI),102,163,562,37.09570957,562,37.09570957,0,102,163,562,0,
81,72,117,1431,Aftab Jehangir (PTI),98,222,537,37.52620545,537,37.52620545,0,98,222,537,0,
83,74,117,1161,Aftab Jehangir (PTI),91,138,381,32.81653747,381,32.81653747,0,91,138,381,0,
90,81,117,1516,Aftab Jehangir (PTI),86,180,482,31.79419525,482,31.79419525,0,86,180,482,0,
60,51,117,1580,Aftab Jehangir (PTI),79,237,558,35.3164557,558,35.3164557,0,79,237,558,0,
23,14,117,854,Aftab Jehangir (PTI),78,145,318,37.23653396,268,31.38173302,50,28,145,268,50,
